0,USA
1,"Massachusetts, USA"
2,"Bowling Green, OH"
3,"Kadky, stanbul"
4,Oklahoma
5,U.S.A
6,"Fort Worth, TX"
7,"Miami, Fl"
8,Home of the Free. 
9,Los Angeles
10,winter park florida 
11,Wisconsin 
12,"Albany, LA"
13,"Las Vegas, NV "
14,wnc
15,Chicago
16,"North Pole, AK"
17,"Cle Elum, WA"
18,USA
19,"South Carolina, USA"
20,"North Carolina, USA"
21,Bay Area
22,"Providence, RI, USA"
23,"New York, NY"
24,Toronto Canada
25,"T: 42.735518,-84.486954"
26,"Tyler, TX"
27,wnc
28,"Naples, FL"
29,USA
30,Third stone from the sun.
31,"North Carolina, USA"
32,Johannesburg
33,Haarlem - The Netherlands
34,"Golden, CO"
35,Texas
36,Nosara and New York
37,United States
38,"Sugar Land, TX"
39,"North Carolina, USA"
40,United States
41,San Francisco CA
42,Dublin
43,"Albany, LA"
44,Southern California
45,"San Antonio, Texas"
46,USA
47,Chicago. IL
48,Georgia 
49,"Texas, USA"
50,30215
51,Hovering over your safe zone. 
52,"Agoura Hills, Ca"
53,"New Jersey, USA"
54,on your timeline
55,New Jersey Proud
56,"Knoxville, TN"
57,in every cishet's nightmare
58,"Lake Wales, FL"
59,Basement of The Kremlin 
60,"North Pole, AK"
61,Ohio
62,Miami-Florida
63,Ferguson at Heart     
64,"Beverly Hills, CA"
65,"Florida, USA"
66,Oklahoma
67,Elysium
68,127.0.0.1
69,Bonneville Dry Lake Bed
70,Las Vegas
71,America..USA
72,"Punta Cana, Dominican Republic"
73,Apache Land. USA
74,my home 
75,"Lexington, Ky"
76,"San Antonio, Texas"
77,"Florida, USA"
78,"Pennsylvania, USA"
79,#AllCatPack
80,"Fort Myers, FL"
81,Massachusetts
82,USA
83,USA
84,"McLean, VA"
85,coming 2 a location near YOU
86,"Texas, USA"
87,"Tallahassee, FL"
88,"South Carolina, USA"
89,In a computer near you....
90,"Washington, DC"
91,AZ
92,Hawkeye state!
93,Atlanta
94,Cahhhleeefoohhhnyyyyaaa
95,Villanova
96,"San Diego, CA"
97,"Your Street, USA"
98,"Atlanta, GA"
99,Idaho
100,Thomasville NC
101,London
102,USA
103,"Tampa, Florida"
104,USA
105,Cul de Sac off Copperhead Rd
106,"Las Vegas, NV "
107,"Washington, DC"
108,"Cleveland Park, DC"
109,WORLD 
110,"columbia, md"
111,"New York, NY"
112,Somewhere in the Hills of TN
113,"San Anselmo, California"
114,"Earth, no idea where precisely"
115,"South Carolina, USA"
116,Heart of Virginia  
117,"Florida, USA"
118,third rock
119,"Barnstable Town, MA"
120,Proud to be Texan on the Front
121, NJ transplant now in FL
122,Bangalore
123,USA
124,Louisiana
125,South Carolina
126,"New Albany, OH"
127,"New Hope, MS"
128,United States of America
129,United States 
130,"Terrell, TX"
131,"Florida, USA"
132,"Norman, OK"
133,"Belleville, IL"
134,Georgia 
135,Manhattan~Mass~Mexico
136,"Butler, PA"
137,Depends on the day
138,Hackensack NJ
139,TEXAS 
140,"San Antonio, Texas"
141,United States
142,Gypsy
143,"Agoura Hills, Ca"
144,"North Pole, AK"
145,"Penn Hills, PA ( Pittsburgh ) "
