"244" "<=33" "admin." "married" "secondary" "no" "Very-Low" "yes" "yes" "unknown" "jun" 2 "unknown" "no"
"584" "<=33" "management" "single" "tertiary" "no" "Very-Low" "no" "no" "cellular" "jan" 2 "unknown" "no"
"623" "<=33" "blue-collar" "single" "secondary" "no" "Very-Low" "yes" "no" "cellular" "may" 1 "unknown" "no"
"722" "<=33" "technician" "single" "tertiary" "no" "Very-Low" "yes" "no" "cellular" "may" 1 "unknown" "no"
"1186" "<=33" "admin." "married" "secondary" "no" "Very-Low" "yes" "no" "unknown" "may" 2 "unknown" "no"
"4130" "<=33" "technician" "married" "secondary" "no" "Very-Low" "yes" "yes" "cellular" "aug" 2 "unknown" "no"
"4176" "<=33" "student" "single" "tertiary" "no" "Very-Low" "yes" "no" "cellular" "sep" 3 "other" "no"
"4383" "<=33" "services" "divorced" "secondary" "no" "Very-Low" "yes" "no" "cellular" "jul" 2 "unknown" "no"
"44" "<=33" "technician" "married" "tertiary" "no" "Low" "yes" "no" "cellular" "may" 3 "unknown" "no"
"67" "<=33" "services" "married" "secondary" "no" "Low" "yes" "no" "cellular" "jan" 1 "unknown" "no"
"98" "<=33" "admin." "single" "tertiary" "no" "Low" "no" "no" "cellular" "oct" 1 "failure" "no"
"113" "<=33" "self-employed" "married" "secondary" "no" "Low" "yes" "yes" "cellular" "jul" 5 "unknown" "no"
"142" "<=33" "management" "single" "tertiary" "no" "Low" "yes" "no" "cellular" "jul" 2 "unknown" "no"
"181" "<=33" "technician" "single" "tertiary" "no" "Low" "yes" "yes" "cellular" "feb" 2 "unknown" "no"
"251" "<=33" "management" "married" "tertiary" "no" "Low" "yes" "no" "cellular" "feb" 3 "unknown" "no"
"503" "<=33" "management" "married" "tertiary" "no" "Low" "no" "no" "cellular" "aug" 5 "unknown" "no"
"538" "<=33" "management" "single" "secondary" "no" "Low" "no" "no" "cellular" "jul" 4 "unknown" "no"
"638" "<=33" "self-employed" "married" "secondary" "no" "Low" "no" "no" "cellular" "aug" 4 "unknown" "no"
