"19" "<=33" "blue-collar" "single" "primary" "no" "Very-Low" "yes" "no" "unknown" "may" 1 "unknown" "no"
"49" "<=33" "entrepreneur" "single" "primary" "yes" "Very-Low" "yes" "yes" "cellular" "feb" 1 "unknown" "no"
"212" "<=33" "blue-collar" "single" "secondary" "no" "Very-Low" "yes" "no" "unknown" "jun" 3 "unknown" "no"
"215" "<=33" "management" "married" "tertiary" "yes" "Very-Low" "no" "no" "cellular" "aug" 4 "unknown" "no"
"227" "<=33" "technician" "married" "secondary" "no" "Very-Low" "no" "no" "cellular" "may" 3 "unknown" "no"
"268" "<=33" "technician" "married" "tertiary" "no" "Very-Low" "yes" "yes" "cellular" "jul" 3 "unknown" "no"
"288" "<=33" "self-employed" "married" "secondary" "no" "Very-Low" "yes" "no" "unknown" "may" 2 "unknown" "no"
"337" "<=33" "blue-collar" "married" "primary" "no" "Very-Low" "no" "no" "unknown" "sep" 1 "unknown" "no"
"616" "<=33" "blue-collar" "married" "secondary" "no" "Very-Low" "yes" "no" "unknown" "jun" 1 "unknown" "no"
"716" "<=33" "admin." "single" "secondary" "no" "Very-Low" "no" "no" "cellular" "jul" 1 "unknown" "no"
"771" "<=33" "blue-collar" "single" "secondary" "no" "Very-Low" "yes" "yes" "cellular" "jul" 6 "unknown" "no"
"786" "<=33" "student" "married" "tertiary" "yes" "Very-Low" "yes" "no" "cellular" "may" 2 "unknown" "no"
"836" "<=33" "services" "single" "secondary" "no" "Very-Low" "no" "no" "cellular" "jul" 2 "unknown" "no"
"841" "<=33" "technician" "single" "secondary" "yes" "Very-Low" "yes" "no" "unknown" "jun" 7 "unknown" "no"
"866" "<=33" "blue-collar" "single" "secondary" "no" "Very-Low" "no" "yes" "unknown" "jul" 3 "unknown" "no"
"920" "<=33" "blue-collar" "married" "secondary" "no" "Very-Low" "yes" "no" "unknown" "may" 3 "unknown" "no"
"924" "<=33" "blue-collar" "married" "secondary" "no" "Very-Low" "yes" "no" "unknown" "may" 1 "unknown" "no"
